id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada
1;whose;saturate;../fake-data/blob/hipster.txt;2025-12-12T15:36:53;famously;illusion;5509;28245;16694.76
2;finally;impassioned hope amnesty;../fake-data/blob/hipster.txt;2025-12-12T07:07:35;gee till volleyball;apropos;22346;25142;13560.93
3;as motor;perspire abnormally uh-huh;../fake-data/blob/hipster.txt;2025-12-12T01:06:05;devise;leading cake as;1992;24506;10914.34
4;lest helpful catalyst;ugh gosh technologist;../fake-data/blob/hipster.txt;2025-12-12T02:01:15;pleased failing;however;20105;8993;14869.97
5;siege own ugh;supposing besides;../fake-data/blob/hipster.txt;2025-12-12T17:46:00;filthy modulo;odd bah;6073;15551;827.33
6;metallic mould until;amid energetically stoop;../fake-data/blob/hipster.txt;2025-12-12T11:37:25;whoever;once carelessly usefully;21407;25693;20326.36
7;culminate;redesign finally potentially;../fake-data/blob/hipster.txt;2025-12-12T16:20:12;yowza meh aw;drain chunder;2907;21681;9063.29
8;topsail tough ski;quietly whenever lecture;../fake-data/blob/hipster.txt;2025-12-12T06:23:40;right charming scarification;equal yieldingly famously;30855;20258;6250.71
9;speedily;than sermon;../fake-data/blob/hipster.txt;2025-12-12T00:21:13;ack to;unlined how than;22849;464;9806.46
10;ick;overdub;../fake-data/blob/hipster.txt;2025-12-12T19:51:31;fundraising anenst equally;who impanel;9386;15154;3883.06
